smiles,output,n_atom
OC(CCC#N)C1CN1,-2.878418,19
OC1CCC2CC12C#N,-2.898665,18
CC1=NNC(OC=N)=C1,-2.517526,16
COCC1CC=CC1O,-3.167959,21
CC(C)C(C)C#CC#N,-3.155253,20
NC(=O)CNC=O,-1.9830269999999999,13
CN1N=NC(N)=C1C=O,-2.331117,15
C#CCC1OC2CCC12,-2.987821,19
NC(=O)C1NC11COC1,-2.579965,17
O1C=NC=C2N=CC=C12,-2.3259090000000002,13
C1C2OC3COCOC123,-2.633016,17
O=C1OC2C3CC2C1C3,-2.814402,17
CC1CC2CC1C2(C)C,-3.739349,25
N=COC(=O)CCC#C,-2.588912,16
CC1(C)OC(C#C)C1O,-2.931491,19
C1CC23CCN4C2C1C34,-3.11936,20
CC1CC2COC(C1)O2,-3.193363,21
[O-]C(=O)C1CC11CC[NH2+]1,-2.727801,18
CC1=NC=C(F)N=N1,-1.9392619999999998,12
CC1=CN2C=CN=C2C1,-2.82153,17
CC(C)CC(=O)NC=O,-3.04095,20
OC12CC(C1)C2CC#C,-2.982565,19
NC1=CC(=O)N2CCC12,-2.7165150000000002,17
CC1CC(=NO)C2NC12,-2.843558,19
CC(=O)NC(CO)C=O,-2.74572,18
N#CC1COC2(CC2)C1,-2.879176,18
C1OC1C1COCO1,-2.412881,16
OCC12OCC3C1OC23,-2.622163,17
C1CC1OC1C2COC12,-2.885045,19
NC1=CC2=C(N1)C=CN2,-2.631574,16
N#CC12CCC1NC=N2,-2.6071109999999997,16
CCCC(=O)NC=O,-2.596392,17
O=C1OC2C1CCC2=O,-2.541687,15
CC(CC(N)=O)OC=O,-2.767412,18
CC1C2CC1(C)CC=C2,-3.553768,23
CC(C)CC1(CO)CO1,-3.355492,23
CC12CC(C1)N(C2)C=O,-3.088306,20
N#CC12NC3C=CC1C23,-2.5404999999999998,15
NC(=O)CC1=CON=N1,-2.232751,14
CC1COC(=N1)C#N,-2.272716,14
CC1CC2C(O)C12CO,-3.140746,21
CCNC1=CC=C(O)N1,-2.9094629999999997,19
CC1CC(C)=CC2CC12,-3.5564780000000003,23
COC1CCOC(=N)O1,-2.710522,18
CC(C)C1=NC=CO1,-2.670787,17
CCCC1(O)CC=CC1,-3.479306,23
FC1=CC(=O)NN=N1,-1.645214,10
CC1(CC(O1)C#C)C#C,-2.773188,17
COC1(CC1CO)C#C,-2.903342,19
N#CC1=CC2(CO2)CC1,-2.685925,16
CCOC1(CC1C)C#N,-3.066686,20
NC1=NC(=[NH2+])[N-]C(=N)O1,-2.203871,14
CC1CCCO1,-2.3428269999999998,16
C#CC12CC1CO2,-2.091998,13
C1COCCOC1,-2.471764,17
CC1OCC1C1CC1,-2.980429,20
CC(C)C(CO)C#C,-2.9885,20
O=CC#CC1CN1,-1.9317929999999999,12
CCC#CC(O)CC#N,-2.86292,18
CC1C=CC=CNC1=O,-2.923057,18
O=CC1=CC2CN2CC1,-2.866308,18
OC(C#C)C1OC1C#N,-2.334758,14
CCN1CC1C1CN1C,-3.294336,23
CN1C2CC1(C)C21CN1,-3.069996,21
CC1CC1N=C(N)C=O,-2.8882209999999997,19
CCCC(C#C)C(C)=O,-3.247994,21
CC(C)CC(CO)C#C,-3.4301019999999998,23
N#CC12CC(N1)C21CO1,-2.404006,15
OC12CC3C4OC4C1C23,-2.721511,17
CC1CN1C(C=O)C#C,-2.8060359999999998,18
NC(=O)OC1=NOC=N1,-1.969549,12
CCC(C)CC(C)O,-3.425085,24
COCC(=O)N(C)C=O,-2.7249309999999998,18
CC1CC(C)=CC1C=O,-3.289036,21
C1CC(C1)C1=NOC=C1,-2.853843,18
CC12CC3N1C2(C)C3=O,-2.85137,18
OCC1CC(=O)N1,-2.123629,14
C1C2OC3OC=NC2C13,-2.5908889999999998,16
CC12CC1C1=CN=CN21,-2.7452959999999997,17
CC12CC1C1CC21C#C,-3.046429,19
CCC1CCC(C=O)=C1,-3.289393,21
CN=COCC#CCO,-2.728892,18
CC1=C2CCN2N=C1O,-2.677174,17
CC1(O)CCCOC1=N,-3.015258,20
C1COC2=C(N1)OC=N2,-2.418678,15
CC12CCC1(O)CC2=O,-2.973878,19
CC1(OC1C#N)C#N,-2.051828,12
OCC(=O)CN1CC1,-2.5094950000000003,17
C1CC23N=COC2C3O1,-2.577845,16
CCC1=C(OC)C=CO1,-2.981741,19
CC1=NC=C(C)C(N)=N1,-2.864635,18
COC1C2OC(C)OC12,-2.842393,19
CC1=CNC(=O)N=C1O,-2.492842,15
OCC(=O)C1CNC1=O,-2.536213,16
CN1CC2CC1(C)C2=O,-3.060894,20
COC1OCCN2CC12,-2.943283,20
C1C2C3CCC1C23,-2.644638,17
OC12CC3C4C1N4C3C2,-2.852258,18
CC(C#N)C1=CN=NO1,-2.297152,14
C1C2OC3CC4C3N4C12,-2.794252,18
CC1=CC(=O)CC1=O,-2.392247,14
OC1CCC(=O)OC1,-2.488322,16
CC1=NC(F)=NC(=O)O1,-2.057426,12
CNC1=C(O)NN=N1,-2.061241,14
O=CN1CC2CC2C1,-2.651766,17
C1CC23OCC2CC=C13,-3.02098,19
CC12CN3C1C1(CO1)C23,-2.751524,18
CC1CC2N=CNC2=N1,-2.817574,18
CCCC(C)(C)CC#C,-3.72282,25
CN1C2C3CC2C(=O)C13,-2.831217,18
C1CC23OCC2COC13,-2.948717,19
CN1C=C(C)C(=N1)C#N,-2.630286,16
OC1CC11C2CC1OC2,-2.924035,19
C1CC2(C1)C1C3NC3C21,-3.051537,20
C#CC12OC3C=CC1C23,-2.5806459999999998,15
OCC#CCCNC=O,-2.774717,18
OC1CC2NC2CC=C1,-3.057564,20
CN1CC2(C)CC2C1=O,-3.108706,20
CC(C)(O)C(=O)C1CN1,-2.984749,20
CC1OC2(C)CCC12O,-3.156294,21
C1=NC=C2N=CN=NN12,-2.009605,12
C1C2C=CC3C4C2C4N13,-2.933447,18
NC1=C(NC=O)C=CN1,-2.557349,16
CCC1CCC2(CO2)C1,-3.456073,23
COC1C2OC1C2C,-2.640768,18
NC12COC1CNC2=O,-2.626734,17
CC(=O)CC1(CO)CC1,-3.178999,21
COC1(CO)CCC=C1,-3.16973,21
COC(C)C(C)=O,-2.495254,17
COC(C=O)C1NC1C,-2.94785,20
CCC(O)(CO)C(N)=O,-2.9496789999999997,20
CC1=NC=C(F)N=C1,-2.164805,13
O=CC1COCC2OC12,-2.675309,17
OCCC(OC=N)C=O,-2.697863,18
O=C1C=CC23CC12CO3,-2.537576,15
CNC1=C(N)ON=C1,-2.237946,15
OCC1COC2COC12,-2.868935,19
CC1OC(C)C1O,-2.476625,17
COC1CN2N=NC=C12,-2.44283,16
CCC(=O)C(C)C#C,-2.806187,18
N#CC1CC2C=CCN12,-2.772787,17
CC1C(=O)C2OC12C#N,-2.373562,14
NC(=O)N1N=CC(N)=N1,-2.175927,14
N#CC12OC3COC1C23,-2.349793,14
CN1CCC(O)C(=O)C1,-3.006267,20
N=COCC1CCOC1,-2.982148,20
CC1=NCC2NC2CO1,-2.869221,19
CC12CCC(C1)OC2=N,-3.117528,20
OCC1=NC=NC(=O)O1,-2.170186,13
CC(O)C1CC1C(N)=O,-3.013688,20
OC1C2COC(=N)C12,-2.34833,15
CCC12CC1(CO)OC2,-3.127745,21
NCC1=NC=NO1,-1.814982,12
C1CC2=NC=CN2C=C1,-2.829097,17
OCCCC1=NNC=N1,-2.729694,18
CC1=NC=C(C)C(F)=C1,-2.805861,17
CCC1C2CC1C2OC,-3.394759,23
CCN1CC(O)C1C#N,-2.8762939999999997,19
CC1CC2C3OC3CC12,-3.242632,21
CC1=CC2C(C1)OC2=N,-2.894572,18
CCC1CC1(O)CC,-3.207362,22
COCC1NC1CC#C,-2.993191,20
CN1CC1C(C)(N)C#N,-2.958075,20
CC1OC2C3C2N(C)C13,-3.017398,20
CCC1(O)COC1C=O,-2.877239,19
CC12NC(=O)C1C2O,-2.342774,15
O=CC1CC23CC(C2)N13,-2.744623,18
CC1OC2(CO)CC1C2,-3.162206,21
CC1=CC2OC2C(=O)N1,-2.620276,16
CN=C1NC(O)=NO1,-1.963349,13
CC1=CC(C)(C)OC1=N,-3.118132,20
OC12CCOC1=NCC2,-2.8096639999999997,18
OC1CC(CC#C)C=C1,-3.039423,19
COCC(C)C(=O)CO,-3.088874,21
O=CN(CC#C)C1CC1,-2.831152,18
CC1C2CC(CC#N)N12,-2.941131,19
OC12C3NC1C3C2C=O,-2.507599,16
CC1CC(=O)C2CC1C2,-3.284749,21
CC1CC2CC2C(=N)O1,-3.084615,20
CC1CC(O)CNC1=O,-3.040057,20
O=CCN=C1NCCO1,-2.619259,17
CC(C)(C)C1(CN1)C#C,-3.3051,22
OC1C=CC2=COC=C12,-2.597679,15
CC(O)CNC(N)=O,-2.608438,18
CN=C1OC(C)=C(C)O1,-2.807901,18
OC1C2OC3OCC2C13,-2.682077,17
OCC1OC(=N)NC1=N,-2.454076,16
O=CCCNC(=O)C=O,-2.5432509999999997,16
CCOC1=NNC=C1C,-2.905253,19
COC(N)=NC1CC1O,-2.787009,19
NC12CC1(OC2=O)C#C,-2.346521,14
C#CCC1C2CCOC12,-3.006157,19
CN1C=NC2=C1N=CN2,-2.446602,15
CC1CC2(C1)OC2C#N,-2.857158,18
CC1(C)CC(=O)C=C1,-2.860649,18
O=CC1CCCCO1,-2.749216,18
CC12CC(O)C1(O2)C=O,-2.663758,17
O=C1CC2CCC3C2N13,-2.89994,18
CC1NC(=O)C2OCC12,-2.809201,18
O=CC1=CCCC2CC12,-3.074561,19
N=C1CC2CCC(C2)O1,-3.113966,20
CCN1N=NC(OC)=N1,-2.49763,17
CC1NCC(=O)C1O,-2.566602,17
CN(C)C1(C)COC1=N,-3.065229,21
CC1OC(C#N)C2NC12,-2.6831959999999997,17
C[NH+]=C1[N-]C=CC(N)=N1,-2.672311,17
O=CC(CC1CC1)C=O,-2.971063,19
OC1CC(=O)OC1C#N,-2.35745,14
O=C1CC(CN1)C#N,-2.3121869999999998,14
CCC1C(O)C1C=O,-2.723227,18
C1CN2C=NC=C2CO1,-2.721979,17
CCC(C)(C#C)C#CC,-3.290376,21
O1C=NC2=C1N=CC=N2,-2.170475,12
O=CC12OC1C1COC21,-2.4185470000000002,15
CC(C=O)C1CC(=O)N1,-2.818536,18
N=C1OCC1C(=O)C=O,-2.311147,14
CC1(O)CC2(O)CCC12,-3.158063,21
COCC12COCC1N2,-2.949543,20
C1OCC2=C(O1)N=CO2,-2.3197,14
CCC1CN=C(CC)O1,-3.301695,22
O=CC1=NON=C1C#C,-1.926099,11
CC1CC11C2CN2C1C,-3.29859,22
CC12CC3CCC1C23,-3.093082,20
CN1C(C=O)C1C1CO1,-2.726178,18
CC1=C(OC=N)ON=N1,-2.188119,14
O=CC1NC2C1CC2=O,-2.565452,16
CC1(CC1)C1=NON=C1,-2.637933,17
CC12COC(C1)COC2,-3.186899,21
OC1(COC=O)COC1,-2.595851,17
CC1OC2CC=CC1O2,-2.993776,19
CCC12CN(C)C1CO2,-3.22054,22
C1C2CC3=C(ON=C3)N12,-2.445426,15
O=COC(C=O)C1CN1,-2.492892,16
COC(=O)C1C2CC1O2,-2.640548,17
CN=CNC(=NC)C#N,-2.6093900000000003,17
OC12COC1C21CCO1,-2.605763,17
CC(=O)NC(=O)NC=O,-2.394116,15
OC12CC3C1CCC3C2,-3.274741,21
CC(O)C(O)C(C)C=O,-3.104664,21
CC(CO)N1N=CN=N1,-2.505763,17
N#CC12CN1C1COC21,-2.420448,15
CC1=C(O)OC(O)=C1N,-2.527445,16
CC1([NH3+])C(O)C1C([O-])=O,-2.66825,18
CCC1C=CC2C(C)C12,-3.541883,23
CC(C)OCC#N,-2.395747,16
OCC#CC1CC1C=O,-2.73226,17
OC1CN(C=O)C1C=O,-2.509703,16
O=C1NC=CC11CO1,-2.16136,13
CC1CC(CO)=CC1O,-3.186987,21
OC1CC2CC2C11CN1,-3.046575,20
COC(CO)(C=O)C#N,-2.50313,16
OCC1CN1CCC#N,-2.865205,19
CC12CC3(C)C1CCC23,-3.532227,23
CC1=C(N)OC=C1C#C,-2.674146,16
CC1(C)OC1(C)C,-2.772408,19
N=C1C(C#N)C2CN12,-2.117622,13
COCC1OC1COC,-3.023992,21
CCCN(CC)C(C)=O,-3.502153,24
CC12NC1CNC2C#N,-2.783543,18
CC1=CCOC(C1)C=O,-2.989434,19
OCC1COCC11CO1,-2.861863,19
CC1COC2CC1(C)C2,-3.454143,23
C1OC1C12CN(C1)C2,-2.525751,17
O=CC(=O)COC1CC1,-2.66417,17
OCC1N2CC1(CO)C2,-2.904624,20
CC1CC2(C)C1N2C=O,-3.05407,20
OCC(COC=N)C#C,-2.7453700000000003,18
OCC1OCOCC1=O,-2.607673,17
COC1=C(O)C(C)=NN1,-2.60248,17
CC12OC1C1OC=NC21,-2.565106,16
CNC1=C(N)N(C)N=C1,-2.801637,19
CC1CC1C1(CC1)C#C,-3.281296,21
CCC1C2OC2C1CC,-3.421544,23
OC1=CC=CN1CC=O,-2.621363,16
O=C1NCC=CC(=O)N1,-2.477851,15
CC1(CO)C2CC1C=C2,-3.224622,21
CCC1(OC)C2COC12,-3.106722,21
CC1C2C(O)C2CC1=O,-2.993727,19
C1C2OC1C1=C2NN=C1,-2.442088,15
CC1=CCC2(C)NC12,-2.912562,19
CC(C#N)N1CC(C)C1,-3.167512,21
OCCNC1=NC=CO1,-2.6263959999999997,17
O=CC1NC11CC(=O)C1,-2.572397,16
CC(C)COC(C)C,-3.415808,24
CC1=CC=CC(C)=CC1,-3.371193,21
COC1=C(N)N=C(O)N1,-2.440504,16
CC1OCC=CC=C1,-2.815573,18
C1C=CCC2NC2C=C1,-3.128519,20
NC1=NOC(CCO)=C1,-2.598634,17
C1C=CC2OC3C1C23,-2.582506,16
CC1CC2=CC(O)=CN12,-2.8720749999999997,18
CC(=NO)C(O)CO,-2.422544,17
CC#CC1NC1C(C)C,-3.311129,22
CC(=O)C1CC2OCC12,-2.951559,19
COC1=CC=C(CO)N1,-2.799136,18
NC1=C2C=CCC2=NO1,-2.488345,15
C#CC1CC2C(C#N)C12,-2.712303,16
CC1CC1C(O)CC=O,-3.166606,21
CC1NC1C1=NC=NO1,-2.478851,16
OC1=CNC2=C1C=NN2,-2.320053,14
O=CC(C#C)C#C,-1.909999,11
