smiles,output,n_atom
Cn1nc(C(F)(F)F)cc(C(N)c2ccc(F)cc2)c1=O,12.940142542901949,32
CC(C)(C)OC(=O)C(C)(C)C=O,13.37186461907109,28
Cc1c[nH]c(O)c1,12.448386233844069,14
COC(=O)CN=C(O)CCC(=O)c1ccc(F)c(F)c1,12.564961133288577,33
COC(=O)c1ncn(Cc2nc3ccccc3n2C(F)F)n1,13.19537296161991,33
O=S1(=O)C=NOC23CCN(CC2)[C@@H]31,13.405616044734755,23
C1C[C@@H]2O[C@H]2CC[C@@H]2O[C@@H]2C1,13.428117477600207,25
N#Cc1nnn(-c2ccccc2F)c1C1CCCO1,13.261913163367655,30
O=C(OCC(F)(F)F)c1ccc(-n2ccnn2)cc1,13.580588587167574,27
O=C(NC(CO)c1ccccc1)c1ccc(C(F)(F)F)cc1,12.657970325245802,36
CCOC(=O)c1cnc2ccc(OC(F)(F)F)cn12,13.473110626900207,28
C/C1=C/CCn2cncc2[C@H](N)C1,12.252902186037966,28
C1=CCCC=CC1,12.899440982838911,17
FC(F)Oc1ccc(-c2cc(C(F)(F)F)n3ncnc3n2)cc1,13.536867070918793,30
OC(COc1cccc(C(F)(F)F)n1)=Nc1cc(F)ccc1F,12.437568606526897,32
COc1[nH]c2c[nH]c(C)c2c1O,10.982861409961082,22
O=C(Oc1ccccc1)c1ccccc1,13.123058749909562,25
Cc1cnoc1C(=O)OCc1noc(C(C)(C)C)n1,13.462624760735771,34
O[C@@H]1[C@H]2C[C@]1(O)C2,12.798337622829235,15
O=C1OC(F)(F)C(F)(F)O1,17.556726411929315,10
CCOc1ccc(F)c(C(=O)N=c2[nH]onc2C)c1F,12.735428243207433,31
N#Cc1ccc(-c2noc(COc3ccc(C(F)(F)F)cc3)n2)nc1,13.048965474506359,34
CN=C(O)CN=C(O)Nc1ccc(C#N)c(C(F)(F)F)c1,12.578624697622272,32
COC(=O)C(C)n1ccc(=O)c2cc(C(F)(F)F)ccc21,13.203462739488145,33
O=C(OCC1CCC(O)=N1)c1cccc(C(F)(F)F)c1,13.090190540950285,32
COC(=O)c1coc(C(=O)N(CC(F)(F)F)c2ccccc2)c1,13.059062118083041,35
OC(=NC1CCCC1O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,12.992108851472043,36
CCn1c(=O)c(C#N)nn(-c2ccccc2C(F)(F)F)c1=O,13.712547925894519,31
O=c1cc(C(F)(F)F)oc2c(F)ccc(F)c12,14.376874014519421,20
CC[C@@H](O)C(C)C,13.433029894185688,21
CC(OCC(F)(F)F)C(O)=NC1CCCN=C1O,12.112882777547151,33
CC1(C=O)CCOCC1,13.031980150719223,21
O=C(c1cc(F)c(F)c(F)c1F)N1CCC(CO)C1,13.525078001583633,30
COC(F)(F)C(F)F,15.597065132595844,12
[H]/N=C1/CC2(CC2)O1,13.860275609564464,14
NC(=O)c1nc(C(N)c2ccccc2C(F)(F)F)no1,13.20618487326287,29
N#CCCCn1c(C(F)(F)F)nc2ccccc21,13.528331241087987,28
Cn1c(=O)c2c(ncn2CCn2cnc(C#N)n2)n(C)c1=O,12.993583543135282,34
CC[C@H](O)C(C)=O,13.493565244182303,17
COc1cc(C#N)ccc1Cn1cnc(C#N)c1C#N,13.418710021517805,29
Cc1noc(OCCN=C(O)OCC(F)(F)F)n1,13.491558710667414,28
