smiles,output
CN1C2C1C(C)(C)C2=O,-3.039579
OC12CC3CC1C2(O)C3,-2.984202
CC(N1CC1C)C(C)=O,-3.260284
OCCOC(C=O)C=O,-2.595252
OC1CNC1=NCC#C,-2.63273
CC1(CCOC=N)CO1,-2.9609900000000002
CC(=NO)C1CCC1,-2.7841519999999997
CC1C2NC1(C)C2=NO,-2.778998
COC1(CCC#C)CC1,-3.196652
C#CC1N2CCC12C#C,-2.645635
CC(=O)C1=CNC=C1O,-2.6522930000000002
CC1C=CC(C#N)N1C,-2.985999
O=C1C2CN2C1C#C,-2.1642419999999998
CCC1C(C#C)C1C#N,-2.93413
NC(=O)C(=O)C1CC1O,-2.538813
CC12CCC(O1)C1CC21,-3.2722569999999997
COC1C(O)CC11CC1,-3.129104
N=C1OC=NC(C=O)=N1,-2.041972
COCC(OC)C(C)C,-3.543355
CC1(C)CC2CC2O1,-3.013471
OC12CC1(C#N)N1CC21,-2.438716
CC1=CC=C(C)C(O)=C1,-3.134852
CC(CC#CC#N)C#N,-2.581886
CC1COC11CC2CC12,-3.211278
COC1C(=O)OC1(C)C,-2.907867
OCCCC1CC2CN12,-3.219937
CC(=O)C1CC11COC1,-2.951209
O=CC1C2CNC(=O)C12,-2.626086
CC1COC(C=O)=N1,-2.364693
FC1=CC(=O)OC=C1,-1.964437
CC1NC1(C#N)C#N,-2.148657
OCC12C3C(CN13)C2=O,-2.535788
CC1(O)CC2CCOC12,-3.174868
CC12C(C=O)C1C1CN21,-2.785039
OC12CN(C1)C(C2)C#C,-2.81079
CCC(C)N(C)C=O,-3.05631
CC1=CC(OC1=N)C#C,-2.666005
CC1(C=O)C2C3CC3C12,-2.988504
CC(C)OC1COC1=O,-2.900061
CCCC(=O)C(N)=O,-2.601656
O=CN1CC2OCC2=C1,-2.563948
CNC1=NN(C)C(N)=C1,-2.80871
C#CC1OCC(=C1)C#N,-2.452839
CC(CC=O)C#N,-2.220128
CC(CO)C(C)N1CC1,-3.438303
OC1CC2(O)C3NC3C12,-2.723799
CC1C2OC3C2C13C#C,-2.763197
OC1C2C3CN3C12,-2.087436
CC1CC2(C)OC12C#C,-2.999714
CC1CC11OC(C)C=C1,-3.250026
CNC(=O)CCO,-2.332202
O=C1CCC11CC1C#N,-2.6814869999999997
CC1OC1(C)C(O)CO,-3.075655
C1COC2=COC=C2O1,-2.489299
CC12NC3C(=O)C1C23O,-2.534989
CC1CC2OC2C(=O)N1,-2.811647
CN(C)C1=NC(O)=CN1,-2.72972
CC12CC3C(OC1)C23,-2.790492
CC(O)CC(C#C)C#N,-2.859566
CCC12CC(C)(N1)C2=O,-3.033121
O=C1CC2(CC2)N1,-2.189022
OC(C=O)C1COC=N1,-2.526139
OC1CCC11CC2CC12,-3.217045
